mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
9.632843653361002,0.15031421316795815,0.7407722473144531,0.027776537669556952,0.6,100,3,10,0.3,0.0,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 1.0}",0.9826413323950269,0.9972555983487466,0.996655826933278,0.9921842525590172,0.0067523045636247725,16
23.746013641357422,0.2020990708596399,2.8208349545796714,0.1504517095756978,1.0,200,3,15,0.05,0.0,0.6,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9848796929126487,0.9975065798587062,0.9963972286374134,0.9929278338029227,0.0057088874500099895,7
11.700416008631388,0.2460553610063984,0.7807961304982504,0.052213066453715394,1.0,200,7,15,0.5,0.5,0.6,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 15, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9829220230834194,0.9967947978877949,0.9962655601659751,0.9919941270457299,0.006418583741437864,17
9.47898499170939,0.13600230334995417,0.5978290239969889,0.03684107167075712,1.0,200,5,15,0.5,1.0,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 15, 'learning_rate': 0.5, 'gamma': 1.0, 'colsample_bytree': 1.0}",0.9824882199873409,0.9964957580228698,0.9954137954875435,0.9914659244992515,0.006363544319499206,22
32.641875664393105,0.7079412094287335,3.1650524139404297,0.11836264106834585,0.6,400,3,15,0.1,0.5,0.8,"{'subsample': 0.6, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9830850439882698,0.9980621049231763,0.9978314031283163,0.9929928506799208,0.007006510349138678,5
21.91129199663798,0.7448242896682603,1.6313005288441975,0.06933202458217208,0.8,200,1,10,0.01,0.5,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9565787624713101,0.9693997918353187,0.9653309943680177,0.9637698495582155,0.00534930390026413,41
35.02921438217163,0.5170378815153223,4.151662826538086,0.13053226051367975,0.8,400,3,15,0.05,1.0,0.6,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 0.6}",0.9839186084673449,0.9979919215233699,0.9970222294037534,0.9929775864648228,0.006417885813402112,6
10.156629165013632,0.28816880912905196,0.3496650854746501,0.029376546947096478,1.0,200,7,3,0.05,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.8960878196893612,0.9070609674517313,0.9016707877891526,0.9016065249767484,0.004479999273474279,46
9.89328416188558,0.09299594593580157,0.6553080876668295,0.014427494132018328,0.8,100,7,10,0.05,0.5,0.6,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9670015691233986,0.9805549788941942,0.9763648545618372,0.9746404675264766,0.005665913406184019,38
15.792338927586874,0.22567732137348784,0.3839443524678548,0.002158550405709832,1.0,300,3,3,0.001,0.0,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 0, 'colsample_bytree': 1.0}",0.7843414691663719,0.7861948490356696,0.790100087547027,0.7868788019163562,0.0024001756978402167,50
41.29598824183146,0.37880294993299474,4.7897383371988935,0.10979543840103262,1.0,300,3,15,0.01,0.5,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9798554081561031,0.991473136915078,0.9898957201322574,0.9870747550678128,0.005145307784793883,27
14.280181169509888,0.24807314790148582,0.8660550117492676,0.03542179488919888,0.6,200,1,7,0.5,0.0,1.0,"{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.5, 'gamma': 0, 'colsample_bytree': 1.0}",0.981478869929018,0.9976715771030731,0.997441394094461,0.9921972803755174,0.007579643260254545,15
37.53313287099203,0.36403116580230094,3.140122652053833,0.16608109079019603,0.6,500,5,10,0.1,0.0,0.8,"{'subsample': 0.6, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.981813909774436,0.9979924775595911,0.9977154724818276,0.9925072866052848,0.007562204880772886,10
15.982053995132446,0.10802338563278288,1.2995974222819011,0.02966555539705851,1.0,200,1,10,0.5,0.0,0.6,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 0, 'colsample_bytree': 0.6}",0.9832926600337901,0.9984545475514959,0.9982007750507473,0.993315994212011,0.007088324727171849,2
14.134021679560343,0.08035082768638566,0.7688290278116862,0.05186379169452589,0.8,200,7,7,0.05,0.0,0.6,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9659040244045524,0.9802402527034193,0.9750121581251013,0.9737188117443577,0.005923761142199291,39
10.107029755910238,0.15511135503798149,0.30150874455769855,0.006205074783084663,0.6,200,5,3,0.05,0.1,0.6,"{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.8969365835434763,0.9077103610133223,0.902321709370086,0.9023228846422948,0.0043983763124126295,45
8.631008625030518,0.14421013883757317,0.6571265061696371,0.023698066600033263,0.8,100,5,10,0.5,0.5,0.6,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.981484962406015,0.9967731526298806,0.9967039299296993,0.9916540149885317,0.007190661572022705,19
17.129157702128094,0.5780952598925098,0.9068028926849365,0.09545411513224038,1.0,400,1,15,0.3,0.5,0.6,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 15, 'learning_rate': 0.3, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9848907212630889,0.9978773476074015,0.9976465159206276,0.993471528263706,0.006068278580909352,1
7.88626233736674,0.12319358018510519,0.4508054256439209,0.04729568796295008,0.6,100,1,7,0.1,1.0,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 0.6}",0.9692372524230931,0.983117212151922,0.9778219285681282,0.9767254643810478,0.005719265442557038,36
13.708494424819946,0.24759578887282424,1.040903886159261,0.23790679943082121,0.6,200,7,7,0.3,0.1,1.0,"{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9800268191121463,0.9968627450980392,0.9962628033588632,0.9910507891896829,0.00779897086054385,23
30.336947123209637,0.7132053397494716,1.8713246981302898,0.14620839792999377,1.0,500,7,10,0.1,1.0,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0}",0.9816337075484992,0.9973466232897257,0.9962626309232686,0.9917476539204978,0.007165318940302301,18
18.467313051223755,1.422284904310768,0.7234745025634766,0.09550702367795696,1.0,500,3,15,0.5,0.5,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9833700285754439,0.9971421986632865,0.9962893821014542,0.9922672031133949,0.0063008787795093245,13
16.41573413213094,0.4660049477040588,0.689950148264567,0.039975485626454775,0.6,300,5,5,0.1,1.0,0.6,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 0.6}",0.9743987952374229,0.9909963985594238,0.986297565040274,0.9838975862790402,0.006985224050303307,29
38.32180714607239,0.7326678211022992,3.2573296229044595,0.34107532055856116,1.0,400,3,15,0.3,0.0,0.8,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.8}",0.9837688230051133,0.9979481268011527,0.998039622685025,0.9932521908304303,0.006705857730715027,3
22.51156449317932,2.1849619517370438,0.5605205694834391,0.016133901609100724,0.6,500,5,3,0.1,0.5,1.0,"{'subsample': 0.6, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9675684600325495,0.9841203800013869,0.9792802617230099,0.9769897005856487,0.006948693709693045,35
28.543612162272137,0.36419542901291396,1.4887781143188477,0.0011736141418422555,1.0,400,1,7,0.01,0.5,1.0,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9366928986759452,0.9474242249625446,0.9423347398030942,0.9421506211471947,0.004382979635434688,43
